section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
8,KeterShemTov,Rabenu_Bahayii,0.0980,-0.102,-0.877,36,-0.877,36,direct_pair_valid,
30_1,DaatChacham_Vat107_Main,MeiratEinayim,0.0591,-2.187,-0.881,28,-0.881,28,direct_pair_valid,
32,DaatChacham_Vat107_Main,Ricanati_Zicaron_aharon_ed,0.1243,0.381,-0.882,21,-0.882,21,direct_pair_valid,
7_1,DaatChacham_Vat107_Main,Rabenu_Bahayii,0.1827,2.791,-0.883,45,-0.883,45,direct_pair_valid,
1,Rabenu_Bahayii,SaportaOxford1645,0.0758,-1.463,-0.889,45,-0.889,45,direct_pair_valid,
12,Comment_a_shuib_Parma_68,DaatChacham_Vat214_Marginalia,0.0651,-2.187,,66,-0.892,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,DaatChacham_Vat107_Main,UnKnownEskorial,0.0445,-2.635,-0.892,78,-0.892,78,direct_pair_valid,
25_2,KeterShemTov,Rabenu_Bahayii,0.0565,-2.187,,21,-0.900,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
7_1,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.1806,2.356,-0.900,45,-0.900,45,direct_pair_valid,
7_1,DaatChacham_Vat214_Main,SaportaOxford1645,0.1806,2.356,-0.900,45,-0.900,45,direct_pair_valid,
12,IbnShuib,KeterShemTov,0.0639,-2.187,,66,-0.902,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
12,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.0633,-2.187,,66,-0.907,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
4,Likutim_bhml_1978,Rabenu_Bahayii,0.1238,0.381,-0.909,66,-0.909,66,direct_pair_valid,
16,KenegedAsaraMaamaritLondon847,KeterShemTov,0.1336,1.544,-0.910,28,-0.910,28,direct_pair_valid,
12,KeterShemTovMS_L,UnKnownEskorial,0.0627,-2.187,,66,-0.913,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
11,DaatChacham_Vat214_Main,KeterShemTov,0.1496,3.989,-0.913,45,-0.913,45,direct_pair_valid,
32,DaatChacham_Vat214_Main,KeterShemTov,0.1214,0.381,-0.916,21,-0.916,21,direct_pair_valid,
22,Comment_a_shuib_Parma_68,UnKnownEskorial,0.1190,0.381,,28,-0.917,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
1,DaatChacham_Vat107_Main,UnKnownEskorial,0.0720,-1.463,-0.919,45,-0.919,45,direct_pair_valid,
